Concentrations | pH_ext (dimensionless),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
6,0.000484826
6.02,0.000506862
6.04,0.00052986
6.06,0.000553859
6.08,0.0005789
6.1,0.000605022
6.12,0.000632269
6.14,0.000660683
6.16,0.000690309
6.18,0.000721193
6.2,0.000753382
6.22,0.000786924
6.24,0.000821869
6.26,0.000858265
6.28,0.000896166
6.3,0.000935624
6.32,0.000976692
6.34,0.00101942
6.36,0.00106388
6.38,0.0011101
6.4,0.00115816
6.42,0.00120811
6.44,0.00126
6.46,0.0013139
6.48,0.00136986
6.5,0.00142794
6.52,0.0014882
6.54,0.00155069
6.56,0.00161547
6.58,0.00168261
6.6,0.00175214
6.62,0.00182413
6.64,0.00189862
6.66,0.00197568
6.68,0.00205534
6.7,0.00213765
6.72,0.00222265
6.74,0.00231039
6.76,0.00240091
6.78,0.00249422
6.8,0.00259037
6.82,0.00268937
6.84,0.00279125
6.86,0.00289602
6.88,0.00300369
6.9,0.00311427
6.92,0.00322774
6.94,0.0033441
6.96,0.00346334
6.98,0.00358543
7,0.00371034
7.02,0.00383803
7.04,0.00396846
7.06,0.00410157
7.08,0.0042373
7.1,0.00437559
7.12,0.00451634
7.14,0.00465948
7.16,0.00480492
7.18,0.00495254
7.2,0.00510224
7.22,0.00525391
7.24,0.00540741
7.26,0.00556261
7.28,0.00571939
7.3,0.00587758
7.32,0.00603704
7.34,0.00619762
7.36,0.00635916
7.38,0.00652148
7.4,0.00668443
7.42,0.00684783
7.44,0.00701152
7.46,0.00717531
7.48,0.00733904
7.5,0.00750253
7.52,0.0076656
7.54,0.0078281
7.56,0.00798985
7.58,0.00815068
7.6,0.00831043
7.62,0.00846896
7.64,0.0086261
7.66,0.00878171
7.68,0.00893564
7.7,0.00908778
7.72,0.00923798
7.74,0.00938613
7.76,0.00953212
7.78,0.00967584
7.8,0.00981719
7.82,0.0099561
7.84,0.0100925
7.86,0.0102262
7.88,0.0103573
7.9,0.0104857
7.92,0.0106113
7.94,0.0107341
7.96,0.0108541
7.98,0.0109711
8,0.0110853
6.01E+00,4.68E-04
6.04E+00,4.86E-04
6.07E+00,5.22E-04
6.09E+00,5.41E-04
6.12E+00,5.94E-04
6.20E+00,6.67E-04
6.17E+00,6.48E-04
6.21E+00,7.01E-04
6.24E+00,8.07E-04
6.27E+00,8.43E-04
6.30E+00,8.96E-04
6.33E+00,9.49E-04
6.35E+00,9.85E-04
6.38E+00,1.06E-03
6.41E+00,1.13E-03
6.44E+00,1.20E-03
6.46E+00,1.28E-03
6.49E+00,1.34E-03
6.50E+00,1.41E-03
6.53E+00,1.48E-03
6.56E+00,1.56E-03
6.57E+00,1.64E-03
6.60E+00,1.71E-03
6.62E+00,1.78E-03
6.66E+00,1.86E-03
6.68E+00,1.95E-03
6.70E+00,2.07E-03
6.73E+00,2.13E-03
6.75E+00,2.27E-03
6.77E+00,2.32E-03
6.81E+00,2.46E-03
6.82E+00,2.56E-03
6.83E+00,2.62E-03
6.85E+00,2.69E-03
6.87E+00,2.77E-03
6.88E+00,2.88E-03
6.90E+00,2.95E-03
6.91E+00,3.03E-03
6.92E+00,3.12E-03
6.94E+00,3.24E-03
6.95E+00,3.35E-03
6.97E+00,3.40E-03
6.98E+00,3.45E-03
7.00E+00,3.56E-03
7.02E+00,3.65E-03
7.03E+00,3.73E-03
7.05E+00,3.82E-03
7.06E+00,3.94E-03
7.07E+00,4.01E-03
7.08E+00,4.08E-03
7.09E+00,4.19E-03
7.11E+00,4.27E-03
7.12E+00,4.34E-03
7.15E+00,4.45E-03
7.16E+00,4.59E-03
7.19E+00,4.69E-03
7.19E+00,4.81E-03
7.17E+00,4.69E-03
7.20E+00,4.81E-03
7.20E+00,4.92E-03
7.22E+00,5.06E-03
7.23E+00,5.14E-03
7.23E+00,5.23E-03
7.25E+00,5.35E-03
7.27E+00,5.42E-03
7.29E+00,5.49E-03
7.29E+00,5.61E-03
7.31E+00,5.75E-03
7.32E+00,5.84E-03
7.33E+00,5.94E-03
7.35E+00,6.07E-03
7.36E+00,6.14E-03
7.38E+00,6.22E-03
7.39E+00,6.31E-03
7.40E+00,6.38E-03
7.40E+00,6.45E-03
7.42E+00,6.55E-03
7.43E+00,6.62E-03
7.44E+00,6.73E-03
7.45E+00,6.85E-03
7.46E+00,6.94E-03
7.46E+00,7.01E-03
7.48E+00,7.09E-03
7.49E+00,7.20E-03
7.50E+00,7.27E-03
7.51E+00,7.39E-03
7.53E+00,7.49E-03
7.54E+00,7.60E-03
7.55E+00,7.67E-03
7.56E+00,7.79E-03
7.59E+00,7.90E-03
7.60E+00,8.00E-03
7.61E+00,8.10E-03
7.63E+00,8.24E-03
7.64E+00,8.35E-03
7.65E+00,8.45E-03
7.67E+00,8.59E-03
7.69E+00,8.75E-03
7.70E+00,8.87E-03
7.72E+00,8.99E-03
7.74E+00,9.08E-03
7.76E+00,9.22E-03
7.77E+00,9.38E-03
7.79E+00,9.43E-03
7.81E+00,9.53E-03
7.82E+00,9.69E-03
7.84E+00,9.76E-03
7.86E+00,9.85E-03
7.87E+00,1.00E-02
7.89E+00,1.01E-02
7.92E+00,1.03E-02
7.93E+00,1.04E-02
7.94E+00,1.04E-02
7.96E+00,1.06E-02
7.98E+00,1.06E-02
7.99E+00,1.08E-02
8.01E+00,1.09E-02
8.03E+00,1.09E-02
