Time,Transmembrane_potential
0.0,-86.94062488519718
0.01,-86.94062488519718
0.02,-86.94062488519718
0.03,-86.94062488519718
0.04,-86.94062488519718
0.05,-86.94062488519718
0.06,-86.94062488519718
0.07,-86.94062488519718
0.08,-86.94062488519718
0.09,-86.94062488519718
0.1,-86.94062488519718
0.11,-86.94062488519718
0.12,-86.94062488519718
0.13,-86.94062488519718
0.14,-86.94062488519718
0.15,-86.94062488519718
0.16,-86.94062488519718
0.17,-86.94062488519718
0.18,-86.94062488519718
0.19,-86.94062488519718
0.2,-86.94062488519718
0.21,-86.94062488519718
0.22,-86.94062488519718
0.23,-86.94062488519718
0.24,-86.94062488519718
0.25,-86.94062488519718
0.26,-86.94062488519718
0.27,-86.94062488519718
0.28,-86.94062488519718
0.29,-86.94062488519718
0.3,-86.94062488519718
0.31,-86.94062488519718
0.32,-86.94062488519718
0.33,-86.94062488519718
0.34,-86.94062488519718
0.35000000000000003,-86.94062488519718
0.36,-86.94062488519718
0.37,-86.94062488519718
0.38,-86.94062488519718
0.39,-86.94062488519718
0.4,-86.94062488519718
0.41000000000000003,-86.94062488519718
0.42,-86.94062488519718
0.43,-86.94062488519718
0.44,-86.94062488519718
0.45,-86.94062488519718
0.46,-86.94062488519718
0.47000000000000003,-86.94062488519718
0.48,-86.94062488519718
0.49,-86.94062488519718
0.5,-86.94062488519718
0.51,-77.6451869289924
0.52,-77.6451869289924
0.53,-77.6451869289924
0.54,-77.6451869289924
0.55,-77.6451869289924
0.56,-77.6451869289924
0.5700000000000001,-77.6451869289924
0.58,-77.6451869289924
0.59,-77.6451869289924
0.6,-77.6451869289924
0.61,-77.6451869289924
0.62,-77.6451869289924
0.63,-77.6451869289924
0.64,-77.6451869289924
0.65,-77.6451869289924
0.66,-77.6451869289924
0.67,-77.6451869289924
0.68,-77.6451869289924
0.6900000000000001,-77.6451869289924
0.7000000000000001,-77.6451869289924
0.71,-77.6451869289924
0.72,-77.6451869289924
0.73,-77.6451869289924
0.74,-77.6451869289924
0.75,-77.6451869289924
0.76,-77.6451869289924
0.77,-77.6451869289924
0.78,-77.6451869289924
0.79,-77.6451869289924
0.8,-77.6451869289924
0.81,-77.6451869289924
0.8200000000000001,-77.6451869289924
0.8300000000000001,-77.6451869289924
0.84,-77.6451869289924
0.85,-77.6451869289924
0.86,-77.6451869289924
0.87,-77.6451869289924
0.88,-77.6451869289924
0.89,-77.6451869289924
0.9,-77.6451869289924
0.91,-77.6451869289924
0.92,-77.6451869289924
0.93,-77.6451869289924
0.9400000000000001,-77.6451869289924
0.9500000000000001,-77.6451869289924
0.96,-77.6451869289924
0.97,-77.6451869289924
0.98,-77.6451869289924
0.99,-77.6451869289924
1.0,-77.6451869289924
1.01,-77.41258684751092
1.02,-77.41258684751092
1.03,-77.41258684751092
1.04,-77.41258684751092
1.05,-77.41258684751092
1.06,-77.41258684751092
1.07,-77.41258684751092
1.08,-77.41258684751092
1.09,-77.41258684751092
1.1,-77.41258684751092
1.11,-77.41258684751092
1.12,-77.41258684751092
1.1300000000000001,-77.41258684751092
1.1400000000000001,-77.41258684751092
1.1500000000000001,-77.41258684751092
1.16,-77.41258684751092
1.17,-77.41258684751092
1.18,-77.41258684751092
1.19,-77.41258684751092
1.2,-77.41258684751092
1.21,-77.41258684751092
1.22,-77.41258684751092
1.23,-77.41258684751092
1.24,-77.41258684751092
1.25,-77.41258684751092
1.26,-77.41258684751092
